time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
3.64 0 0.000346 25.257 2.243 1 0 0 0 1 0 0 0
3.68 0 0.000305 23.951 2.197 1 0 0 0 1 0 0 0
3.72 0 0.000332 24.898 2.247 1 0 0 0 1 0 0 0
3.76 0 0.000344 26.728 2.203 1 0 0 0 1 0 0 0
3.80 0 0.001527 40.679 3.138 1 0 0 0 1 0 0 0
3.84 0 0.001367 29.981 3.265 1 0 0 0 1 0 0 0
3.88 0 0.000388 22.607 2.258 1 0 0 0 1 0 0 0
3.92 0 0.000264 21.373 1.853 1 0 0 0 1 0 0 0
3.96 0 0.000211 20.125 1.722 1 0 0 0 1 0 0 0
4.00 0 0.000247 22.414 1.673 1 0 0 0 1 0 0 0
4.04 0 0.000251 16.443 1.740 1 0 0 0 1 0 0 0
4.08 0 0.000149 17.451 1.687 1 0 0 0 1 0 0 0
4.12 0 0.000126 15.153 1.624 1 0 0 0 1 0 0 0
4.16 0 0.000151 21.041 1.608 1 0 0 0 1 0 0 0
4.20 0 0.001101 39.224 2.752 1 0 0 0 1 0 0 0
4.24 0 0.001153 28.966 3.131 1 0 0 0 1 0 0 0
4.28 0 0.000358 20.855 2.114 1 0 0 0 1 0 0 0
4.32 0 0.000187 21.243 1.780 1 0 0 0 1 0 0 0
4.36 0 0.000297 24.925 1.837 1 0 0 0 1 0 0 0
4.40 0 0.000303 24.117 1.904 1 0 0 0 1 0 0 0
4.44 0 0.000312 23.318 1.914 1 0 0 0 1 0 0 0
4.48 0 0.000269 21.402 1.899 1 0 0 0 1 0 0 0
4.52 0 0.000253 21.359 1.863 1 0 0 0 1 0 0 0
4.56 0 0.000239 21.175 1.837 1 0 0 0 1 0 0 0
4.60 0 0.000190 20.313 1.761 1 0 0 0 1 0 0 0
4.64 0 0.000313 25.529 1.732 1 0 0 0 1 0 0 0
4.68 0 0.001131 39.283 1.992 1 0 0 0 1 0 0 0
4.72 0 0.001395 38.392 2.413 1 0 0 0 1 0 0 0
4.76 0 0.001572 36.082 1.998 1 0 0 0 1 0 0 0
4.80 0 0.000484 19.399 1.695 1 0 0 0 1 0 0 0
4.84 0 0.001279 38.378 3.144 1 0 0 0 1 0 0 0
4.88 0 0.001381 36.341 3.674 1 0 0 0 1 0 0 0
4.92 418.427 0.007566 55.063 5.843 1 0 0 0 1 0 0 0
4.96 421.532 0.009982 52.134 7.344 1 0 0 0 1 0 0 0
5.00 424.536 0.008146 50.380 7.207 1 0 0 0 1 0 0 0
5.04 426.815 0.004345 44.791 5.533 1 0 0 0 1 0 0 0
5.08 429.093 0.002202 38.054 3.751 1 0 0 0 1 0 0 0
5.12 431.371 0.004120 46.276 3.725 1 0 0 0 1 0 0 0
5.16 433.649 0.001260 36.431 3.146 1 0 0 0 1 0 0 0
5.20 435.927 0.000682 30.087 2.618 1 0 0 0 1 0 0 0
5.24 438.206 0.000411 26.833 2.367 1 0 0 0 1 0 0 0
5.28 440.484 0.000304 22.940 2.206 1 0 0 0 1 0 0 0
5.32 442.762 0.000280 21.151 2.017 1 0 0 0 1 0 0 0
5.36 445.040 0.000384 23.131 1.798 1 0 0 0 1 0 0 0
5.40 447.319 0.000141 16.703 1.680 1 0 0 0 1 0 0 0
5.44 449.597 0.000157 17.194 1.662 1 0 0 0 1 0 0 0
5.48 451.875 0.000146 16.989 1.651 1 0 0 0 1 0 0 0
5.52 454.153 0.000161 18.105 1.632 1 0 0 0 1 0 0 0
5.56 456.432 0.000132 15.292 1.619 1 0 0 0 1 0 0 0
5.60 458.710 0.000126 15.954 1.612 1 0 0 0 1 0 0 0
5.64 460.988 0.000125 14.761 1.616 1 0 0 0 1 0 0 0
5.68 463.266 0.000105 14.744 1.604 1 0 0 0 1 0 0 0
5.72 465.544 0.000165 15.029 1.601 1 0 0 0 1 0 0 0
5.76 467.823 0.000097 16.791 1.600 1 0 0 0 1 0 0 0
5.80 470.101 0.000380 23.387 1.601 1 0 0 0 1 0 0 0
5.84 472.379 0.000222 21.955 1.600 1 0 0 0 1 0 0 0
5.88 474.657 0.000242 14.024 1.600 1 0 0 0 1 0 0 0
5.92 476.936 0.000101 13.973 1.602 1 0 0 0 1 0 0 0
5.96 479.214 0.000094 13.844 1.600 1 0 0 0 1 0 0 0
6.00 481.492 0.000215 19.890 1.601 1 0 0 0 1 0 0 0
6.04 483.770 0.000123 16.543 1.601 1 0 0 0 1 0 0 0
6.08 486.049 0.000177 20.925 1.601 1 0 0 0 1 0 0 0
6.12 488.327 0.000133 14.498 1.600 1 0 0 0 1 0 0 0
6.16 490.605 0.000094 13.997 1.600 1 0 0 0 1 0 0 0
6.20 492.883 0.000114 16.375 1.601 1 0 0 0 1 0 0 0
6.24 495.161 0.000118 15.120 1.601 1 0 0 0 1 0 0 0
6.28 497.440 0.000113 16.109 1.604 1 0 0 0 1 0 0 0
6.32 499.718 0.000140 16.771 1.603 1 0 0 0 1 0 0 0
6.36 501.996 0.000157 18.040 1.628 1 0 0 0 1 0 0 0
6.40 504.274 0.000174 18.521 1.660 1 0 0 0 1 0 0 0
6.44 506.553 0.000176 20.173 1.680 1 0 0 0 1 0 0 0
6.48 508.831 0.000232 21.417 1.732 1 0 0 0 1 0 0 0
6.52 511.109 0.000194 19.189 1.758 1 0 0 0 1 0 0 0
6.56 513.387 0.000198 19.722 1.783 1 0 0 0 1 0 0 0
6.60 515.666 0.000214 20.260 1.798 1 0 0 0 1 0 0 0
6.64 517.944 0.000213 20.253 1.838 1 0 0 0 1 0 0 0
6.68 520.222 0.000202 18.847 1.798 1 0 0 0 1 0 0 0
6.72 522.500 0.000186 18.450 1.740 1 0 0 0 1 0 0 0
6.76 524.778 0.000161 17.900 1.698 1 0 0 0 1 0 0 0
6.80 527.057 0.000143 15.930 1.639 1 0 0 0 1 0 0 0
6.84 529.335 0.000125 15.170 1.615 1 0 0 0 1 0 0 0
