time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
4.12 296.991 0.001791 40.718 1.861 0 0 1 0 0
4.16 294.111 0.001577 37.964 1.868 0 0 1 0 0
4.20 291.231 0.001707 36.874 2.016 0 0 1 0 0
4.24 288.351 0.001406 33.626 1.930 0 0 1 0 0
4.28 285.471 0.001340 27.123 1.879 0 0 1 0 0
4.32 282.590 0.000447 27.206 1.982 0 0 1 0 0
4.36 279.710 0.000586 28.434 2.172 0 0 1 0 0
4.40 276.830 0.000549 29.198 2.292 0 0 1 0 0
4.44 273.950 0.000619 29.862 2.308 0 0 1 0 0
4.48 271.070 0.000787 31.065 2.232 0 0 1 0 0
4.52 268.190 0.000790 35.774 2.166 0 0 1 0 0
4.56 265.310 0.001882 39.815 1.978 0 0 1 0 0
4.60 262.429 0.001196 35.315 1.809 0 0 1 0 0
4.64 259.549 0.001491 33.920 1.689 0 0 1 0 0
4.68 256.669 0.001166 35.790 1.629 0 0 1 0 0
4.72 253.789 0.001025 34.269 1.642 0 0 1 0 0
4.76 250.909 0.001288 34.135 1.640 0 0 1 0 0
4.80 248.029 0.001385 35.705 1.627 0 0 1 0 0
4.84 245.149 0.000958 34.139 1.616 0 0 1 0 0
4.88 242.268 0.000689 30.170 1.606 0 0 1 0 0
4.92 239.388 0.000652 32.572 1.603 0 0 1 0 0
4.96 236.508 0.001031 38.739 1.606 0 0 1 0 0
5.00 233.628 0.004861 47.947 2.220 0 0 1 0 0
5.04 230.748 0.002333 36.283 2.129 0 0 1 0 0
5.08 227.868 0.001006 33.583 1.706 0 0 1 0 0
5.12 224.988 0.000681 30.178 1.627 1 0 0 0 0
5.16 222.107 0.000606 32.045 1.667 1 0 0 0 0
5.20 219.227 0.001978 34.152 1.674 1 0 0 0 0
5.24 216.347 0.001277 37.030 1.694 1 0 0 0 0
5.28 213.467 0.001091 33.878 1.765 1 0 0 0 0
5.32 210.587 0.001164 37.390 1.943 1 0 0 0 0
5.36 207.707 0.001423 35.724 2.187 1 0 0 0 0
5.40 204.827 0.001056 34.093 2.425 1 0 0 0 0
5.44 201.946 0.000905 33.607 2.789 1 0 0 0 0
5.48 199.066 0.000829 31.783 3.000 1 0 0 0 0
5.52 196.186 0.000754 30.651 2.693 1 0 0 0 0
5.56 193.306 0.001004 34.202 2.200 1 0 0 0 0
5.60 190.426 0.000650 25.521 1.937 1 0 0 0 0
5.64 187.546 0.000397 29.342 1.922 1 0 0 0 0
5.68 184.666 0.000886 31.183 2.123 1 0 0 0 0
5.72 181.785 0.000537 29.418 2.225 1 0 0 0 0
5.76 178.905 0.000619 31.242 2.237 1 0 0 0 0
5.80 176.025 0.000933 32.974 2.187 1 0 0 0 0
5.84 173.145 0.000563 25.927 2.060 1 0 0 0 0
5.88 170.265 0.000556 29.218 2.077 0 1 0 0 0
5.92 167.385 0.000672 31.092 2.102 0 1 0 0 0
5.96 164.505 0.001459 32.207 2.022 0 1 0 0 0
6.00 161.624 0.001029 34.062 1.844 0 1 0 0 0
6.04 158.744 0.000961 36.225 1.740 0 1 0 0 0
6.08 155.129 0.004359 50.117 3.977 0 1 0 0 0
6.12 153.673 0.012424 59.182 8.716 0 1 0 0 0
6.16 163.835 0.022629 62.288 14.062 0 1 0 0 0
6.20 182.831 0.023243 57.349 14.639 0 1 0 0 0
6.24 228.956 0.007007 42.671 7.278 0 1 0 0 0
6.28 255.390 0.003394 43.511 6.642 0 1 0 0 0
6.32 288.567 0.002619 45.908 4.706 0 1 0 0 0
6.36 334.460 0.014988 60.348 8.647 0 1 0 0 0
6.40 336.017 0.019497 59.336 10.517 0 1 0 0 0
6.44 260.145 0.016381 57.258 11.210 0 1 0 0 0
6.48 177.870 0.018083 60.882 14.047 0 1 0 0 0
6.52 148.675 0.022083 61.397 17.191 0 1 0 0 0
6.56 146.383 0.022246 59.627 17.794 0 1 0 0 0
6.60 151.278 0.015062 51.457 9.903 0 0 0 1 0
6.64 155.785 0.003566 38.976 4.083 0 0 0 1 0
6.68 158.368 0.001416 37.055 2.622 0 0 0 1 0
6.72 160.950 0.002430 41.562 2.011 0 0 0 1 0
6.76 163.533 0.002442 49.937 2.920 0 0 0 1 0
6.80 166.775 0.043246 71.628 16.309 0 0 0 1 0
6.84 177.994 0.089766 69.837 30.391 0 0 0 1 0
6.88 203.202 0.046109 62.907 26.369 0 0 0 1 0
6.92 221.334 0.015613 57.689 20.029 0 0 0 1 0
6.96 228.265 0.020019 64.726 19.035 0 0 0 1 0
7.00 180.612 0.102272 75.738 36.470 0 0 0 1 0
7.04 165.383 0.102712 70.417 37.655 0 0 0 1 0
7.08 182.419 0.045505 58.850 21.531 0 0 0 1 0
7.12 254.916 0.009566 56.804 14.447 0 0 0 1 0
7.16 292.895 0.061245 74.325 24.517 0 0 0 1 0
7.20 224.602 0.104139 73.834 42.888 0 0 0 1 0
7.24 171.880 0.092285 64.724 31.783 0 0 0 1 0
7.28 206.326 0.014140 54.840 18.899 0 0 0 1 0
7.32 231.103 0.009129 55.396 13.960 0 0 0 1 0
7.36 249.721 0.031611 68.794 18.208 0 0 0 1 0
7.40 201.465 0.070876 70.988 33.437 0 0 0 1 0
7.44 156.298 0.065569 60.971 25.570 0 0 0 1 0
7.48 169.022 0.011221 50.391 14.388 0 0 0 1 0
7.52 178.175 0.005112 51.210 8.882 0 0 0 1 0
7.56 190.988 0.027506 64.798 17.041 0 0 0 1 0
7.60 199.585 0.028410 63.409 20.201 0 0 0 1 0
7.64 209.723 0.027687 57.408 16.458 0 0 0 1 0
7.68 215.392 0.005502 45.029 7.464 0 0 0 1 0
7.72 218.641 0.004266 43.333 5.251 0 0 0 1 0
7.76 221.890 0.001726 30.676 2.393 0 0 0 1 0
7.80 225.139 0.001547 39.527 1.966 0 0 0 1 0
7.84 228.388 0.001511 35.917 1.878 0 0 0 1 0
7.88 231.637 0.001003 31.990 1.775 0 0 0 1 0
7.92 234.886 0.000474 27.930 1.678 0 0 0 1 0
7.96 238.135 0.001102 30.621 1.623 0 0 0 1 0
8.00 241.383 0.000694 35.592 1.769 0 0 0 1 0
8.04 244.632 0.003354 46.184 2.899 0 0 0 1 0
8.08 247.881 0.001991 37.799 2.763 0 0 0 1 0
8.12 251.130 0.000715 34.506 2.641 0 0 0 1 0
8.16 254.379 0.006005 51.075 5.083 0 0 0 1 0
8.20 257.628 0.005762 48.159 6.615 0 0 0 1 0
8.24 260.877 0.005443 35.736 3.287 0 0 0 1 0
8.28 264.126 0.000539 29.697 2.032 0 0 0 1 0
8.32 267.374 0.001047 35.534 1.962 0 0 0 1 0
8.36 270.623 0.000761 29.987 1.716 0 0 0 1 0
8.40 273.872 0.000376 27.388 1.629 0 0 0 1 0
8.44 277.121 0.000835 35.159 1.608 0 0 0 1 0
8.48 280.370 0.000621 29.367 1.622 0 0 0 1 0
8.52 283.619 0.000600 31.789 1.660 0 0 0 1 0
8.56 286.868 0.001233 37.104 1.762 0 0 0 1 0
8.60 290.117 0.000996 32.973 1.777 0 0 0 1 0
8.64 293.366 0.000815 29.749 1.746 0 0 0 1 0
8.68 296.614 0.001028 29.742 1.696 1 0 0 0 0
8.72 299.863 0.001040 38.390 1.698 1 0 0 0 0
8.76 303.112 0.002235 41.358 1.796 1 0 0 0 0
8.80 306.361 0.002045 33.087 1.714 1 0 0 0 0
8.84 309.610 0.000326 41.992 2.663 1 0 0 0 0
8.88 313.688 0.019779 63.662 10.984 1 0 0 0 0
8.92 300.849 0.039023 66.359 19.765 1 0 0 0 0
8.96 274.293 0.035951 63.074 23.065 0 1 0 0 0
9.00 360.023 0.024333 60.318 21.606 0 1 0 0 0
9.04 409.156 0.023507 59.947 20.621 0 1 0 0 0
9.08 470.822 0.020274 59.326 18.964 0 1 0 0 0
9.12 527.652 0.017130 57.882 17.836 0 1 0 0 0
9.16 471.675 0.015506 54.906 15.639 0 1 0 0 0
9.20 431.411 0.013453 57.322 13.960 0 1 0 0 0
9.24 375.255 0.020692 62.758 14.575 0 1 0 0 0
9.28 350.014 0.040180 67.611 18.264 0 1 0 0 0
9.32 344.495 0.043226 66.501 19.187 0 1 0 0 0
9.36 329.586 0.038316 65.936 15.991 0 1 0 0 0
9.40 311.109 0.037223 58.663 12.724 0 1 0 0 0
9.44 305.834 0.003965 40.556 4.076 0 1 0 0 0
9.48 302.811 0.012980 62.118 9.579 0 1 0 0 0
9.52 299.016 0.040359 70.138 22.798 0 1 0 0 0
9.56 292.180 0.092158 70.798 37.421 0 1 0 0 0
9.60 284.202 0.054950 48.583 10.211 0 1 0 0 0
9.64 278.464 0.001059 49.190 5.737 0 1 0 0 0
9.68 267.231 0.112474 79.356 29.331 0 1 0 0 0
9.72 251.018 0.112454 71.235 36.181 0 1 0 0 0
9.76 239.435 0.063801 54.796 16.456 0 1 0 0 0
9.80 232.798 0.004597 50.916 5.480 0 1 0 0 0
9.84 228.994 0.121233 75.361 15.625 0 1 0 0 0
9.88 224.220 0.016413 50.998 11.850 0 1 0 0 0
9.92 220.557 0.011365 58.292 12.537 0 1 0 0 0
9.96 226.232 0.020670 58.563 15.609 0 1 0 0 0
10.00 225.620 0.010871 50.291 9.306 0 1 0 0 0
10.04 225.270 0.006704 40.783 3.675 0 1 0 0 0
10.08 224.919 0.001104 35.592 2.058 0 1 0 0 0
10.12 224.568 0.001993 41.679 1.841 0 1 0 0 0
10.16 224.218 0.005170 49.356 2.286 0 1 0 0 0
10.20 223.867 0.003663 37.715 2.012 0 1 0 0 0
10.24 223.516 0.001682 39.537 1.809 0 1 0 0 0
10.28 223.165 0.002827 45.066 1.759 0 1 0 0 0
10.32 222.725 0.006091 55.623 4.061 0 1 0 0 0
10.36 216.131 0.026000 66.285 14.491 0 1 0 0 0
10.40 185.695 0.054778 68.805 29.041 0 1 0 0 0
10.44 159.417 0.046990 61.981 25.466 0 1 0 0 0
10.48 196.454 0.014299 52.192 13.635 1 0 0 0 0
10.52 217.680 0.009442 53.377 9.770 1 0 0 0 0
10.56 238.906 0.009098 51.081 10.476 0 0 0 1 0
10.60 260.132 0.006549 50.233 9.838 0 0 0 1 0
10.64 281.358 0.005852 47.207 7.290 0 0 0 1 0
10.68 302.584 0.002527 40.476 3.355 0 0 0 1 0
10.72 323.811 0.002565 44.209 3.218 0 0 0 1 0
10.76 345.037 0.007078 54.708 6.313 0 0 0 1 0
10.80 371.678 0.020802 65.171 13.890 0 0 0 1 0
10.84 390.026 0.062156 71.257 25.571 0 0 0 1 0
10.88 336.728 0.081347 69.796 30.838 0 0 0 1 0
10.92 294.220 0.036938 59.570 20.171 0 0 0 1 0
10.96 294.003 0.011717 56.759 12.648 1 0 0 0 0
11.00 285.941 0.049709 69.767 20.339 1 0 0 0 0
11.04 262.228 0.033444 60.564 21.247 1 0 0 0 0
11.08 259.483 0.019433 58.022 13.961 1 0 0 0 0
11.12 256.523 0.010449 50.763 7.662 0 1 0 0 0
11.16 254.827 0.004676 39.596 3.479 0 1 0 0 0
11.20 253.131 0.002099 38.822 2.153 0 1 0 0 0
11.24 251.434 0.001498 44.244 2.164 0 1 0 0 0
11.28 249.305 0.034275 69.102 14.762 0 1 0 0 0
11.32 246.079 0.049574 65.752 26.037 0 1 0 0 0
11.36 242.817 0.021710 60.866 18.857 0 1 0 0 0
11.40 242.260 0.028630 66.679 23.987 0 1 0 0 0
11.44 258.087 0.073872 71.665 35.898 0 1 0 0 0
11.48 277.804 0.057355 63.385 24.679 0 1 0 0 0
11.52 270.375 0.024269 60.612 15.791 0 1 0 0 0
11.56 253.311 0.019301 52.887 9.962 0 1 0 0 0
11.60 241.037 0.006445 52.353 7.836 0 1 0 0 0
11.64 224.871 0.022580 63.636 14.853 0 1 0 0 0
11.68 218.035 0.025661 57.393 14.250 0 1 0 0 0
11.72 210.603 0.006497 49.579 9.129 0 1 0 0 0
11.76 205.258 0.006066 50.828 7.501 0 1 0 0 0
11.80 202.735 0.010625 59.410 10.223 1 0 0 0 0
11.84 223.434 0.035203 66.816 18.095 1 0 0 0 0
11.88 252.149 0.035799 56.232 16.293 1 0 0 0 0
11.92 255.132 0.006046 33.414 4.846 0 0 0 1 0
11.96 256.842 0.000762 28.464 2.438 0 0 0 1 0
12.00 258.552 0.000592 27.977 1.808 0 0 0 1 0
12.04 260.261 0.001180 40.011 2.033 0 0 0 1 0
12.08 261.971 0.004960 50.550 4.303 0 0 0 1 0
12.12 263.680 0.008769 50.021 6.436 0 0 0 1 0
12.16 265.390 0.003733 44.335 5.677 0 0 0 1 0
12.20 267.100 0.009095 49.608 5.204 0 0 0 1 0
12.24 268.809 0.006610 52.757 7.094 0 0 0 1 0
12.28 270.519 0.009384 47.352 5.874 0 0 0 1 0
12.32 272.229 0.001940 37.400 4.201 0 0 0 1 0
12.36 273.938 0.001604 42.145 3.267 0 0 0 1 0
12.40 276.084 0.005166 49.471 5.341 0 0 0 1 0
12.44 280.181 0.014079 58.293 10.943 0 0 0 1 0
12.48 285.482 0.013243 49.540 7.983 0 0 0 1 0
12.52 288.520 0.002714 43.957 5.013 0 0 0 1 0
12.56 291.559 0.009379 53.344 6.812 0 0 0 1 0
12.60 295.372 0.007892 55.434 8.999 0 0 0 1 0
12.64 299.132 0.027450 61.227 15.386 0 0 0 1 0
12.68 296.514 0.012604 46.243 7.044 0 0 0 1 0
12.72 295.013 0.005681 50.195 5.310 0 0 0 1 0
12.76 293.512 0.008379 45.535 4.162 0 0 0 1 0
12.80 291.629 0.007978 56.269 8.487 0 0 0 1 0
12.84 288.665 0.025437 59.835 11.804 0 0 0 1 0
12.88 286.173 0.008334 50.901 5.189 0 0 0 1 0
12.92 284.745 0.006904 51.534 4.699 0 0 0 1 0
12.96 283.317 0.002558 44.153 2.404 0 0 0 1 0
13.00 281.889 0.006919 52.312 5.685 0 0 0 1 0
13.04 280.461 0.008743 46.765 4.809 0 0 0 1 0
13.08 279.033 0.008293 40.073 2.753 0 0 0 1 0
13.12 277.605 0.000872 33.143 1.850 0 0 0 1 0
13.16 276.177 0.001375 38.362 1.830 0 0 0 1 0
13.20 274.749 0.001784 39.378 1.787 0 0 0 1 0
13.24 273.321 0.002035 39.154 1.790 0 0 0 1 0
13.28 271.893 0.001421 37.884 1.744 0 0 0 1 0
13.32 270.465 0.003077 46.384 3.087 0 0 0 1 0
13.36 269.037 0.002844 43.008 2.010 0 0 0 1 0
13.40 267.609 0.001550 31.412 1.708 0 0 0 1 0
13.44 266.181 0.000798 31.861 1.647 0 0 0 1 0
13.48 264.752 0.000845 32.662 1.614 0 0 0 1 0
13.52 263.324 0.001356 32.002 1.639 0 0 0 1 0
13.56 261.896 0.000385 27.057 1.610 0 0 0 1 0
13.60 260.468 0.000449 28.578 1.603 0 0 0 1 0
13.64 259.040 0.000654 32.775 1.612 0 0 0 1 0
13.68 257.612 0.001175 37.173 1.606 0 0 0 1 0
13.72 256.184 0.002156 42.292 1.635 0 0 0 1 0
