time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
4.12 192.490 0.003595 38.818 4.454 0 1 0 0 0
4.16 200.673 0.001261 45.847 4.126 0 1 0 0 0
4.20 208.792 0.041344 69.842 14.658 0 1 0 0 0
4.24 196.591 0.068898 70.769 26.657 0 1 0 0 0
4.28 173.864 0.074179 70.867 31.117 0 1 0 0 0
4.32 152.490 0.058148 69.016 30.314 0 1 0 0 0
4.36 139.323 0.056173 68.966 31.227 0 1 0 0 0
4.40 136.079 0.052612 67.242 29.624 0 1 0 0 0
4.44 137.128 0.040283 64.682 24.744 0 1 0 0 0
4.48 130.508 0.023150 57.105 16.625 0 1 0 0 0
4.52 137.025 0.008163 40.888 7.166 0 1 0 0 0
4.56 140.709 0.000744 23.212 2.349 0 1 0 0 0
4.60 144.394 0.000398 24.948 1.759 0 1 0 0 0
4.64 148.078 0.000330 20.551 1.746 1 0 0 0 0
4.68 151.762 0.000319 21.980 1.704 1 0 0 0 0
4.72 155.447 0.000234 21.280 1.726 1 0 0 0 0
4.76 159.131 0.000280 25.635 1.834 1 0 0 0 0
4.80 162.816 0.001160 36.952 1.795 1 0 0 0 0
4.84 166.500 0.001929 24.704 1.727 1 0 0 0 0
4.88 170.185 0.000203 17.673 1.682 1 0 0 0 0
4.92 173.869 0.000157 16.346 1.630 1 0 0 0 0
4.96 177.554 0.000141 16.076 1.608 1 0 0 0 0
5.00 181.238 0.000138 17.512 1.602 1 0 0 0 0
5.04 184.922 0.000216 21.527 1.601 1 0 0 0 0
5.08 188.607 0.000111 14.800 1.600 1 0 0 0 0
5.12 192.291 0.000123 16.623 1.600 1 0 0 0 0
5.16 195.976 0.000128 16.720 1.600 1 0 0 0 0
5.20 199.660 0.000131 14.503 1.600 1 0 0 0 0
5.24 203.345 0.000117 15.951 1.601 1 0 0 0 0
5.28 207.029 0.000117 15.992 1.601 1 0 0 0 0
5.32 210.714 0.000123 15.068 1.600 1 0 0 0 0
5.36 214.398 0.000112 15.713 1.600 1 0 0 0 0
5.40 218.082 0.000138 16.935 1.600 1 0 0 0 0
5.44 221.767 0.000128 16.080 1.600 1 0 0 0 0
5.48 225.451 0.000119 14.031 1.601 1 0 0 0 0
5.52 229.136 0.000107 13.746 1.600 1 0 0 0 0
5.56 232.820 0.000128 16.009 1.600 1 0 0 0 0
5.60 236.505 0.000114 18.452 1.600 1 0 0 0 0
5.64 240.189 0.000331 27.459 1.834 1 0 0 0 0
5.68 243.874 0.000419 25.391 1.854 1 0 0 0 0
5.72 247.558 0.000238 21.354 1.683 1 0 0 0 0
5.76 251.243 0.000269 23.307 1.628 1 0 0 0 0
5.80 254.927 0.000197 20.115 1.692 1 0 0 0 0
