time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
3.44 149.488 0.029794 63.415 22.501 1 0 0 0 1 0 0 0
3.48 148.034 0.029819 63.283 21.833 1 0 0 0 1 0 0 0
3.52 146.787 0.029409 63.532 21.127 1 0 0 0 1 0 0 0
3.56 145.549 0.028879 63.142 20.523 1 0 0 0 1 0 0 0
3.60 144.583 0.028297 62.821 19.999 1 0 0 0 1 0 0 0
3.64 144.441 0.028544 63.242 20.224 1 0 0 0 1 0 0 0
3.68 144.309 0.029344 63.340 20.633 1 0 0 0 1 0 0 0
3.72 144.546 0.029723 63.421 20.837 1 0 0 0 1 0 0 0
3.76 147.689 0.022900 58.645 18.082 1 0 0 0 1 0 0 0
3.80 152.405 0.008189 31.384 4.895 1 0 0 0 1 0 0 0
3.84 156.515 0.005049 50.341 5.083 1 0 0 0 1 0 0 0
3.88 157.801 0.018023 61.437 11.338 1 0 0 0 1 0 0 0
3.92 154.405 0.014498 37.889 7.906 1 0 0 0 1 0 0 0
3.96 154.494 0.000709 27.004 2.410 1 0 0 0 1 0 0 0
4.00 154.550 0.000373 31.475 1.773 1 0 0 0 1 0 0 0
4.04 154.627 0.002385 49.474 4.428 1 0 0 0 1 0 0 0
4.08 153.007 0.014441 60.093 9.301 1 0 0 0 1 0 0 0
4.12 148.925 0.018492 57.690 11.726 1 0 0 0 1 0 0 0
4.16 146.082 0.015466 58.257 13.209 1 0 0 0 1 0 0 0
4.20 144.939 0.018201 60.478 15.133 1 0 0 0 1 0 0 0
4.24 144.147 0.023443 61.970 17.100 1 0 0 0 1 0 0 0
4.28 143.469 0.026286 62.773 18.234 1 0 0 0 1 0 0 0
4.32 143.004 0.028913 63.467 19.216 1 0 0 0 1 0 0 0
4.36 142.789 0.029755 63.545 19.782 1 0 0 0 1 0 0 0
4.40 144.057 0.028649 61.534 18.214 1 0 0 0 1 0 0 0
4.44 146.698 0.011709 38.724 7.311 1 0 0 0 1 0 0 0
4.48 149.000 0.001247 35.856 4.392 1 0 0 0 1 0 0 0
4.52 147.859 0.011530 59.825 7.917 1 0 0 0 1 0 0 0
4.56 141.312 0.020824 58.920 13.229 1 0 0 0 1 0 0 0
4.60 138.393 0.014785 56.736 13.605 1 0 0 0 1 0 0 0
4.64 139.280 0.012997 55.517 13.022 1 0 0 0 1 0 0 0
4.68 145.936 0.010407 51.734 10.692 1 0 0 0 1 0 0 0
4.72 155.743 0.005256 41.939 4.037 1 0 0 0 1 0 0 0
4.76 161.861 0.001433 36.868 2.106 1 0 0 0 1 0 0 0
4.80 167.978 0.003200 42.696 5.064 1 0 0 0 1 0 0 0
4.84 176.523 0.003105 50.853 5.279 1 0 0 0 1 0 0 0
4.88 184.472 0.018468 63.298 9.331 1 0 0 0 1 0 0 0
4.92 183.221 0.032969 63.515 15.694 1 0 0 0 1 0 0 0
4.96 178.945 0.014342 33.668 5.952 1 0 0 0 1 0 0 0
5.00 176.278 0.000454 41.001 2.959 1 0 0 0 1 0 0 0
5.04 173.611 0.002449 36.650 4.612 1 0 0 0 1 0 0 0
5.08 170.944 0.002990 43.327 4.401 1 0 0 0 1 0 0 0
5.12 168.277 0.002400 43.904 5.132 1 0 0 0 1 0 0 0
5.16 165.610 0.003762 46.350 6.852 1 0 0 0 1 0 0 0
5.20 162.943 0.003438 37.941 6.631 1 0 0 0 1 0 0 0
5.24 160.276 0.001868 38.636 3.212 1 0 0 0 1 0 0 0
5.28 157.609 0.001088 36.673 2.340 1 0 0 0 1 0 0 0
5.32 154.942 0.003678 48.363 3.441 1 0 0 0 1 0 0 0
5.36 151.216 0.007001 54.468 5.930 1 0 0 0 1 0 0 0
5.40 148.465 0.012255 56.228 9.517 1 0 0 0 1 0 0 0
5.44 149.407 0.009461 46.761 5.664 1 0 0 0 1 0 0 0
5.48 150.228 0.004376 48.744 4.157 1 0 0 0 1 0 0 0
5.52 152.146 0.013480 59.175 10.291 1 0 0 0 1 0 0 0
5.56 152.731 0.019480 59.437 14.701 1 0 0 0 1 0 0 0
5.60 148.202 0.012718 49.927 10.369 1 0 0 0 1 0 0 0
5.64 148.135 0.009592 54.044 9.716 1 0 0 0 1 0 0 0
5.68 156.046 0.006132 41.860 6.049 1 0 0 0 1 0 0 0
5.72 160.981 0.002038 38.731 2.346 1 0 0 0 1 0 0 0
5.76 167.874 0.002864 47.509 4.588 1 0 0 0 1 0 0 0
5.80 176.418 0.009222 56.249 8.527 1 0 0 0 1 0 0 0
5.84 180.504 0.014525 56.338 10.798 1 0 0 0 1 0 0 0
5.88 179.024 0.011474 49.357 8.645 1 0 0 0 1 0 0 0
5.92 174.737 0.005540 54.425 7.417 1 0 0 0 1 0 0 0
5.96 175.933 0.015201 58.435 8.432 1 0 0 0 1 0 0 0
6.00 183.573 0.011338 43.965 6.273 1 0 0 0 1 0 0 0
6.04 188.339 0.001862 25.196 2.234 1 0 0 0 1 0 0 0
6.08 193.105 0.001595 46.633 3.251 1 0 0 0 1 0 0 0
6.12 199.762 0.004940 53.372 5.362 1 0 0 0 1 0 0 0
6.16 210.826 0.012003 56.206 6.903 1 0 0 0 1 0 0 0
6.20 218.396 0.012948 55.811 6.953 1 0 0 0 1 0 0 0
