time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
0.04 0 0 9.285 1.600 1 0 0 0 1 0 0 0
0.08 0 0.000189 17.339 1.600 1 0 0 0 1 0 0 0
0.12 0 0.000213 22.152 1.600 1 0 0 0 1 0 0 0
0.16 0 0.000351 27.597 1.600 1 0 0 0 1 0 0 0
0.20 0 0.000438 28.404 1.600 1 0 0 0 1 0 0 0
0.24 0 0.000627 25.417 1.601 0 1 0 0 1 0 0 0
0.28 0 0.000288 20.739 1.600 0 1 0 0 1 0 0 0
0.32 0 0.000243 18.018 1.600 0 1 0 0 1 0 0 0
0.36 0 0.000244 37.099 1.895 0 1 0 0 1 0 0 0
0.40 0 0.004274 51.915 5.655 0 1 0 0 1 0 0 0
0.44 0 0.024496 60.735 8.741 0 1 0 0 1 0 0 0
0.48 0 0.012692 55.496 7.097 0 1 0 0 1 0 0 0
0.52 0 0.008708 51.143 5.713 0 1 0 0 1 0 0 0
0.56 0 0.004209 41.234 4.232 0 1 0 0 1 0 0 0
0.60 0 0.002129 36.165 3.574 0 1 0 0 1 0 0 0
0.64 0 0.001136 30.478 2.922 0 1 0 0 1 0 0 0
0.68 0 0.000703 31.994 2.767 0 1 0 0 1 0 0 0
0.72 0 0.001037 39.193 3.016 0 1 0 0 1 0 0 0
0.76 138.544 0.005257 49.189 5.201 0 1 0 0 1 0 0 0
0.80 139.601 0.004063 33.780 3.987 0 1 0 0 1 0 0 0
0.84 140.260 0.000548 33.458 2.646 0 1 0 0 1 0 0 0
0.88 140.919 0.001097 42.183 2.429 0 1 0 0 1 0 0 0
0.92 141.578 0.002417 36.562 2.901 0 1 0 0 1 0 0 0
0.96 142.237 0.000776 29.073 2.070 0 1 0 0 1 0 0 0
1.00 142.896 0.000903 28.259 1.852 0 1 0 0 1 0 0 0
1.04 143.555 0.001004 33.946 1.850 0 1 0 0 1 0 0 0
1.08 144.213 0.000554 23.433 1.678 0 1 0 0 1 0 0 0
1.12 144.872 0.000270 40.394 1.762 0 1 0 0 1 0 0 0
1.16 145.531 0.002053 35.794 2.047 0 1 0 0 1 0 0 0
1.20 146.190 0.000827 29.949 1.705 0 1 0 0 1 0 0 0
1.24 146.849 0.000701 31.540 1.680 0 1 0 0 1 0 0 0
1.28 147.508 0.001551 41.202 2.965 0 1 0 0 1 0 0 0
1.32 148.167 0.001951 33.334 2.773 0 1 0 0 1 0 0 0
1.36 148.826 0.001078 37.887 2.451 0 1 0 0 1 0 0 0
1.40 149.485 0.001486 40.976 2.234 0 1 0 0 1 0 0 0
1.44 150.144 0.003865 42.961 3.498 0 1 0 0 1 0 0 0
1.48 150.803 0.002704 42.517 2.517 0 1 0 0 1 0 0 0
1.52 151.462 0.003748 41.687 2.807 0 1 0 0 1 0 0 0
1.56 152.121 0.001704 37.162 2.298 0 1 0 0 1 0 0 0
1.60 152.780 0.001021 32.917 1.943 0 1 0 0 1 0 0 0
1.64 153.439 0.000762 26.855 1.829 0 1 0 0 1 0 0 0
1.68 154.098 0.001079 49.035 2.450 0 1 0 0 1 0 0 0
1.72 154.757 0.004795 39.250 2.936 0 1 0 0 1 0 0 0
1.76 155.416 0.001393 29.089 2.053 0 1 0 0 1 0 0 0
1.80 156.336 0.000557 33.156 1.786 0 1 0 0 1 0 0 0
1.84 157.047 0.005344 46.603 4.136 0 1 0 0 1 0 0 0
1.88 156.878 0.002761 35.051 2.326 0 1 0 0 1 0 0 0
1.92 156.773 0.000980 32.419 1.855 0 1 0 0 1 0 0 0
1.96 156.668 0.001403 36.205 1.825 0 1 0 0 1 0 0 0
2.00 156.562 0.001089 27.500 1.692 0 1 0 0 1 0 0 0
2.04 156.415 0.001035 43.777 2.084 0 1 0 0 1 0 0 0
2.08 156.339 0.007094 48.845 5.497 0 1 0 0 1 0 0 0
2.12 156.443 0.002807 29.501 2.627 0 1 0 0 1 0 0 0
2.16 156.508 0.000300 28.721 1.805 0 1 0 0 1 0 0 0
2.20 156.572 0.000570 28.567 1.658 0 1 0 0 1 0 0 0
2.24 156.637 0.003279 51.665 2.872 0 1 0 0 1 0 0 0
2.28 156.701 0.007734 42.221 3.704 0 1 0 0 1 0 0 0
2.32 156.766 0.001015 27.211 1.995 0 1 0 0 1 0 0 0
2.36 156.830 0.000393 25.910 1.690 0 1 0 0 1 0 0 0
2.40 156.895 0.000275 22.472 1.630 0 1 0 0 1 0 0 0
2.44 156.985 0.001051 40.068 2.243 0 1 0 0 1 0 0 0
2.48 155.132 0.005656 48.347 5.334 0 1 0 0 1 0 0 0
2.52 151.231 0.002411 29.012 2.448 0 1 0 0 1 0 0 0
2.56 148.797 0.000484 23.726 1.771 0 1 0 0 1 0 0 0
2.60 146.364 0.000536 35.119 1.670 0 1 0 0 1 0 0 0
2.64 143.931 0.000895 36.529 1.698 0 1 0 0 1 0 0 0
2.68 140.532 0.003933 53.321 4.008 0 1 0 0 1 0 0 0
2.72 138.300 0.010361 43.384 6.299 0 1 0 0 1 0 0 0
2.76 139.721 0.001164 31.994 2.297 0 1 0 0 1 0 0 0
2.80 140.607 0.000677 28.923 1.751 0 1 0 0 1 0 0 0
2.84 141.493 0.000553 32.718 1.638 0 1 0 0 1 0 0 0
2.88 142.380 0.000864 29.751 1.685 0 1 0 0 1 0 0 0
2.92 143.266 0.000582 29.640 2.208 0 1 0 0 1 0 0 0
2.96 144.152 0.000637 24.179 1.756 0 1 0 0 1 0 0 0
3.00 145.039 0.000383 25.230 1.640 0 1 0 0 1 0 0 0
3.04 145.925 0.000523 28.230 1.616 0 1 0 0 1 0 0 0
3.08 146.811 0.002914 41.391 2.112 0 1 0 0 1 0 0 0
3.12 147.698 0.002273 42.086 3.324 0 1 0 0 1 0 0 0
3.16 148.584 0.001576 30.254 2.423 0 1 0 0 1 0 0 0
3.20 149.470 0.001743 38.076 2.799 0 1 0 0 1 0 0 0
3.24 150.357 0.001155 30.718 2.828 0 1 0 0 1 0 0 0
3.28 151.243 0.000928 33.009 2.431 0 1 0 0 1 0 0 0
3.32 152.129 0.002119 36.126 2.368 0 1 0 0 1 0 0 0
3.36 153.016 0.000862 26.774 1.800 0 1 0 0 1 0 0 0
3.40 153.902 0.000732 34.844 1.730 0 1 0 0 1 0 0 0
3.44 154.788 0.000983 30.114 1.939 0 1 0 0 1 0 0 0
3.48 155.675 0.000897 32.586 1.811 0 1 0 0 1 0 0 0
3.52 156.561 0.000909 27.664 1.747 0 1 0 0 1 0 0 0
3.56 157.447 0.000396 25.369 1.632 0 1 0 0 1 0 0 0
3.60 158.334 0.000375 28.115 1.652 0 1 0 0 1 0 0 0
3.64 159.220 0.003307 37.604 2.257 0 1 0 0 1 0 0 0
3.68 160.106 0.000864 43.729 2.018 0 1 0 0 1 0 0 0
3.72 160.993 0.002150 31.388 1.920 0 1 0 0 1 0 0 0
3.76 161.879 0.000605 31.156 1.684 0 1 0 0 1 0 0 0
3.80 162.765 0.000502 23.406 1.627 0 1 0 0 1 0 0 0
3.84 163.652 0.000480 25.216 1.607 1 0 0 0 1 0 0 0
3.88 164.538 0.000386 24.191 1.604 1 0 0 0 1 0 0 0
3.92 165.424 0.000313 26.228 1.611 1 0 0 0 1 0 0 0
3.96 166.311 0.000398 47.847 2.096 1 0 0 0 1 0 0 0
4.00 167.197 0.026681 64.382 11.338 1 0 0 0 1 0 0 0
4.04 168.083 0.018098 49.361 11.813 1 0 0 0 1 0 0 0
4.08 168.970 0.004341 44.364 9.304 1 0 0 0 1 0 0 0
4.12 169.856 0.003582 43.893 8.009 1 0 0 0 1 0 0 0
4.16 170.742 0.002969 45.553 7.594 1 0 0 0 1 0 0 0
4.20 171.629 0.004179 46.654 8.335 1 0 0 0 1 0 0 0
4.24 172.515 0.003651 44.905 7.847 1 0 0 0 1 0 0 0
4.28 173.401 0.003101 44.110 7.160 1 0 0 0 1 0 0 0
4.32 174.288 0.002862 41.809 6.381 1 0 0 0 1 0 0 0
4.36 175.174 0.002299 40.244 5.791 1 0 0 0 1 0 0 0
4.40 176.060 0.001887 39.445 5.197 1 0 0 0 1 0 0 0
4.44 176.947 0.001823 38.251 4.880 1 0 0 0 1 0 0 0
4.48 177.833 0.001643 45.889 4.538 1 0 0 0 1 0 0 0
4.52 178.719 0.002898 40.253 3.919 1 0 0 0 1 0 0 0
4.56 179.606 0.001133 26.688 2.741 1 0 0 0 1 0 0 0
4.60 180.492 0.002543 35.738 2.428 1 0 0 0 1 0 0 0
4.64 181.730 0.000676 30.927 2.171 1 0 0 0 1 0 0 0
4.68 183.830 0.008366 53.822 4.493 1 0 0 0 1 0 0 0
4.72 180.814 0.009069 50.048 6.647 1 0 0 0 1 0 0 0
4.76 171.556 0.006569 51.339 7.692 1 0 0 0 1 0 0 0
4.80 163.490 0.006333 53.765 6.003 1 0 0 0 1 0 0 0
4.84 153.583 0.007688 43.846 5.772 1 0 0 0 1 0 0 0
4.88 146.173 0.002767 45.267 4.238 1 0 0 0 1 0 0 0
4.92 140.430 0.006790 51.919 6.051 1 0 0 0 1 0 0 0
4.96 138.452 0.008522 53.072 7.936 1 0 0 0 1 0 0 0
5.00 139.102 0.006695 41.308 6.258 1 0 0 0 1 0 0 0
5.04 140.547 0.002337 46.987 5.108 1 0 0 0 1 0 0 0
5.08 141.448 0.004071 43.489 6.143 1 0 0 0 1 0 0 0
5.12 142.349 0.004713 52.231 5.225 1 0 0 0 1 0 0 0
5.16 143.250 0.006270 44.565 5.665 1 0 0 0 1 0 0 0
5.20 144.151 0.001967 32.790 3.119 1 0 0 0 1 0 0 0
5.24 145.053 0.000617 32.986 2.020 1 0 0 0 1 0 0 0
5.28 145.954 0.000717 29.829 1.704 1 0 0 0 1 0 0 0
5.32 146.855 0.000504 26.365 1.626 1 0 0 0 1 0 0 0
5.36 147.756 0.000515 23.622 1.607 1 0 0 0 1 0 0 0
5.40 148.657 0.000456 30.834 1.602 1 0 0 0 1 0 0 0
5.44 149.558 0.000601 33.816 1.601 1 0 0 0 1 0 0 0
5.48 150.459 0.000691 29.915 1.600 1 0 0 0 1 0 0 0
5.52 151.361 0.000457 29.259 1.600 1 0 0 0 1 0 0 0
5.56 152.262 0.000499 26.741 1.600 1 0 0 0 1 0 0 0
5.60 153.163 0.000338 25.790 1.600 1 0 0 0 1 0 0 0
5.64 154.064 0.000282 25.517 1.602 1 0 0 0 1 0 0 0
5.68 154.965 0.000302 20.777 1.607 1 0 0 0 1 0 0 0
5.72 155.866 0.000178 23.506 1.605 1 0 0 0 1 0 0 0
5.76 156.768 0.000276 19.710 1.603 1 0 0 0 1 0 0 0
5.80 157.669 0.000244 20.758 1.601 1 0 0 0 1 0 0 0
5.84 158.570 0.000279 26.713 1.600 1 0 0 0 1 0 0 0
5.88 159.471 0.000398 20.924 1.601 1 0 0 0 1 0 0 0
5.92 160.372 0.000263 22.422 1.600 1 0 0 0 1 0 0 0
5.96 161.273 0.000294 20.002 1.609 1 0 0 0 1 0 0 0
6.00 162.175 0.000232 23.972 1.603 1 0 0 0 1 0 0 0
6.04 163.076 0.000327 19.424 1.618 1 0 0 0 1 0 0 0
6.08 163.977 0.000184 19.351 1.605 1 0 0 0 1 0 0 0
6.12 164.878 0.000427 33.804 2.165 1 0 0 0 1 0 0 0
6.16 165.779 0.001763 43.787 4.224 1 0 0 0 1 0 0 0
