time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
0.04 0 0 10.852 1.600 1 0 0 0 0
0.08 0 0.000193 22.440 1.600 1 0 0 0 0
0.12 0 0.000320 21.992 1.600 1 0 0 0 0
0.16 0 0.000245 21.841 1.600 1 0 0 0 0
0.20 0 0.000261 19.837 1.600 1 0 0 0 0
0.24 0 0.000156 16.433 1.600 1 0 0 0 0
0.28 0 0.000148 17.017 1.600 1 0 0 0 0
0.32 0 0.000135 16.617 1.600 1 0 0 0 0
0.36 0 0.000191 23.364 1.600 1 0 0 0 0
0.40 0 0.000197 17.710 1.602 1 0 0 0 0
0.44 0 0.000132 15.595 1.601 1 0 0 0 0
0.48 0 0.000123 17.035 1.600 1 0 0 0 0
0.52 0 0.000142 16.713 1.602 1 0 0 0 0
0.56 0 0.000209 20.631 1.602 1 0 0 0 0
0.60 0 0.000290 23.898 1.601 1 0 0 0 0
0.64 0 0.000338 23.791 1.601 1 0 0 0 0
0.68 0 0.000395 26.012 1.608 1 0 0 0 0
0.72 0 0.000388 29.139 1.623 1 0 0 0 0
0.76 0 0.000568 27.112 1.630 1 0 0 0 0
0.80 0 0.000418 26.596 1.609 1 0 0 0 0
0.84 0 0.000376 23.889 1.603 1 0 0 0 0
0.88 0 0.000376 26.249 1.603 1 0 0 0 0
0.92 0 0.000290 19.333 1.602 1 0 0 0 0
0.96 0 0.000257 21.955 1.603 1 0 0 0 0
1.00 0 0.000422 26.373 1.639 1 0 0 0 0
1.04 0 0.000557 36.878 1.829 1 0 0 0 0
1.08 0 0.001617 37.663 2.017 1 0 0 0 0
1.12 0 0.001065 34.146 1.832 1 0 0 0 0
1.16 0 0.003301 38.111 1.758 1 0 0 0 0
1.20 0 0.000687 28.782 1.640 1 0 0 0 0
1.24 0 0.000725 25.039 1.618 1 0 0 0 0
1.28 0 0.000285 19.246 1.605 1 0 0 0 0
1.32 0 0.000149 17.638 1.604 1 0 0 0 0
1.36 0 0.000151 18.891 1.602 1 0 0 0 0
1.40 0 0.000149 17.980 1.601 1 0 0 0 0
1.44 0 0.000163 23.893 1.600 1 0 0 0 0
1.48 0 0.000455 23.690 1.600 1 0 0 0 0
1.52 0 0.000392 25.545 1.600 1 0 0 0 0
1.56 0 0.000344 25.657 1.600 1 0 0 0 0
1.60 0 0.000301 23.855 1.601 1 0 0 0 0
1.64 0 0.000684 32.305 1.630 1 0 0 0 0
1.68 0 0.000922 36.225 1.819 1 0 0 0 0
1.72 0 0.001071 31.734 2.227 1 0 0 0 0
1.76 0 0.000668 29.955 1.783 1 0 0 0 0
1.80 0 0.000474 30.629 1.648 1 0 0 0 0
1.84 0 0.000879 32.331 1.688 1 0 0 0 0
1.88 0 0.000352 22.744 1.764 1 0 0 0 0
1.92 0 0.000301 22.805 1.830 1 0 0 0 0
1.96 0 0.000246 19.181 1.750 1 0 0 0 0
2.00 0 0.000677 33.869 2.356 1 0 0 0 0
2.04 0 0.000800 28.617 2.544 1 0 0 0 0
2.08 0 0.000400 23.664 1.988 1 0 0 0 0
2.12 0 0.000317 31.439 1.689 1 0 0 0 0
2.16 0 0.000821 24.381 1.642 1 0 0 0 0
2.20 0 0.000226 20.756 1.612 1 0 0 0 0
2.24 0 0.000235 21.627 1.606 1 0 0 0 0
2.28 0 0.000362 25.584 1.602 1 0 0 0 0
2.32 0 0.000724 27.526 1.944 1 0 0 0 0
2.36 0 0.000451 28.997 1.914 1 0 0 0 0
2.40 0 0.000433 20.035 1.693 1 0 0 0 0
2.44 0 0.000150 19.432 1.623 1 0 0 0 0
2.48 0 0.000187 19.223 1.607 1 0 0 0 0
2.52 0 0.000161 17.468 1.611 1 0 0 0 0
2.56 0 0.000225 25.492 1.621 1 0 0 0 0
2.60 0 0.000447 25.752 1.609 1 0 0 0 0
2.64 0 0.000328 25.499 1.609 1 0 0 0 0
2.68 0 0.000558 28.101 1.614 1 0 0 0 0
2.72 0 0.000373 35.821 1.613 1 0 0 0 0
2.76 0 0.000930 24.486 1.627 1 0 0 0 0
2.80 0 0.000365 27.449 1.607 1 0 0 0 0
2.84 0 0.000480 22.255 1.604 1 0 0 0 0
2.88 0 0.000262 20.102 1.601 1 0 0 0 0
2.92 0 0.000166 17.393 1.600 1 0 0 0 0
2.96 0 0.000130 19.888 1.601 1 0 0 0 0
3.00 0 0.000305 26.044 1.643 1 0 0 0 0
3.04 0 0.000345 21.836 1.628 1 0 0 0 0
3.08 0 0.000216 21.786 1.699 1 0 0 0 0
3.12 0 0.000205 22.075 1.634 1 0 0 0 0
3.16 0 0.000289 26.678 1.957 1 0 0 0 0
3.20 0 0.000524 29.725 2.522 1 0 0 0 0
3.24 0 0.000701 31.626 3.073 1 0 0 0 0
3.28 0 0.000851 32.955 3.614 1 0 0 0 0
3.32 0 0.000931 34.706 3.869 1 0 0 0 0
3.36 0 0.001034 35.594 3.907 1 0 0 0 0
3.40 0 0.003724 41.131 6.053 1 0 0 0 0
3.44 0 0.002222 36.251 5.616 1 0 0 0 0
3.48 0 0.001144 33.342 4.534 1 0 0 0 0
3.52 0 0.000922 32.966 4.032 1 0 0 0 0
3.56 0 0.000832 33.166 3.730 1 0 0 0 0
3.60 0 0.000807 29.822 3.443 1 0 0 0 0
3.64 0 0.000625 29.418 3.179 1 0 0 0 0
3.68 0 0.000667 31.902 3.162 1 0 0 0 0
3.72 0 0.000780 30.845 3.083 1 0 0 0 0
3.76 0 0.000596 28.889 2.913 1 0 0 0 0
3.80 0 0.000577 27.325 2.744 1 0 0 0 0
3.84 0 0.000422 27.369 2.502 1 0 0 0 0
3.88 0 0.000468 23.124 2.176 1 0 0 0 0
3.92 0 0.000283 23.788 1.791 1 0 0 0 0
3.96 0 0.000355 20.467 1.656 1 0 0 0 0
4.00 0 0.000253 21.377 1.614 1 0 0 0 0
4.04 0 0.000306 23.111 1.690 1 0 0 0 0
4.08 0 0.000265 23.566 1.677 1 0 0 0 0
4.12 0 0.000799 28.575 2.812 1 0 0 0 0
4.16 0 0.000417 28.887 2.314 1 0 0 0 0
4.20 0 0.000901 36.635 2.707 1 0 0 0 0
4.24 0 0.001291 38.018 2.910 1 0 0 0 0
4.28 0 0.001153 28.261 2.560 1 0 0 0 0
4.32 0 0.000433 26.387 2.201 1 0 0 0 0
4.36 0 0.000288 19.289 1.833 1 0 0 0 0
4.40 0 0.000159 17.390 1.660 1 0 0 0 0
4.44 0 0.000142 18.238 1.616 1 0 0 0 0
