time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
0.04 0 0 9.345 1.600 1 0 0 0 0
0.08 0 0.000116 14.081 1.602 1 0 0 0 0
0.12 0 0.000095 13.273 1.601 1 0 0 0 0
0.16 0 0.000098 13.268 1.602 1 0 0 0 0
0.20 0 0.000088 15.514 1.601 1 0 0 0 0
0.24 0 0.000148 15.664 1.601 1 0 0 0 0
0.28 0 0.000106 12.869 1.600 1 0 0 0 0
0.32 0 0.000085 12.842 1.600 1 0 0 0 0
0.36 0 0.000092 13.859 1.602 1 0 0 0 0
0.40 0 0.000323 25.267 1.601 1 0 0 0 0
0.44 0 0.000216 14.355 1.601 1 0 0 0 0
0.48 0 0.000102 14.199 1.600 1 0 0 0 0
0.52 0 0.000148 20.617 1.600 1 0 0 0 0
0.56 0 0.000152 13.825 1.601 1 0 0 0 0
0.60 0 0.000091 13.282 1.601 1 0 0 0 0
0.64 0 0.000096 13.798 1.602 1 0 0 0 0
0.68 0 0.000103 13.676 1.601 1 0 0 0 0
0.72 0 0.000094 14.870 1.601 1 0 0 0 0
0.76 0 0.000108 13.735 1.600 1 0 0 0 0
0.80 0 0.000105 15.554 1.600 1 0 0 0 0
0.84 0 0.000109 14.114 1.600 1 0 0 0 0
0.88 0 0.000117 28.330 1.605 1 0 0 0 0
0.92 0 0.001096 26.523 1.635 1 0 0 0 0
0.96 0 0.000217 15.159 1.636 1 0 0 0 0
1.00 0 0.000113 15.389 1.624 1 0 0 0 0
1.04 0 0.000116 18.183 1.633 1 0 0 0 0
1.08 0 0.000171 17.145 1.629 1 0 0 0 0
1.12 0 0.000871 33.475 1.630 1 0 0 0 0
1.16 0 0.000487 19.771 1.703 1 0 0 0 0
1.20 0 0.000291 27.303 2.023 1 0 0 0 0
1.24 0 0.001116 35.897 2.162 1 0 0 0 0
1.28 0 0.000510 27.256 1.872 1 0 0 0 0
1.32 0 0.000380 19.986 1.818 1 0 0 0 0
1.36 0 0.000198 17.823 1.751 1 0 0 0 0
1.40 0 0.000153 17.433 1.691 1 0 0 0 0
1.44 0 0.000132 16.131 1.650 1 0 0 0 0
1.48 0 0.000133 14.790 1.637 1 0 0 0 0
1.52 0 0.000125 15.164 1.628 1 0 0 0 0
1.56 0 0.000404 27.109 1.623 1 0 0 0 0
1.60 0 0.000294 15.757 1.607 1 0 0 0 0
1.64 0 0.000177 19.164 1.603 1 0 0 0 0
1.68 0 0.000169 17.815 1.603 1 0 0 0 0
1.72 0 0.000135 17.104 1.608 1 0 0 0 0
1.76 0 0.000141 16.399 1.621 1 0 0 0 0
1.80 0 0.000154 33.992 1.614 1 0 0 0 0
1.84 0 0.000878 21.355 1.671 1 0 0 0 0
1.88 0 0.000190 20.641 1.693 1 0 0 0 0
1.92 0 0.001615 33.846 1.880 1 0 0 0 0
1.96 0 0.000482 32.834 1.850 1 0 0 0 0
2.00 0 0.000650 23.384 1.926 1 0 0 0 0
2.04 0 0.000268 22.563 1.995 1 0 0 0 0
2.08 0 0.000237 20.541 1.982 1 0 0 0 0
2.12 0 0.000256 25.515 1.931 1 0 0 0 0
2.16 0 0.000645 25.177 1.892 1 0 0 0 0
2.20 0 0.000283 20.247 1.829 1 0 0 0 0
2.24 0 0.000194 18.553 1.810 1 0 0 0 0
2.28 0 0.000194 27.489 1.755 1 0 0 0 0
2.32 0 0.000531 20.121 1.729 1 0 0 0 0
2.36 0 0.000964 40.536 1.708 1 0 0 0 0
2.40 0 0.002188 31.620 1.701 1 0 0 0 0
2.44 0 0.000308 20.456 1.672 1 0 0 0 0
2.48 0 0.001287 33.731 1.706 1 0 0 0 0
2.52 0 0.000474 20.499 1.629 1 0 0 0 0
2.56 0 0.000169 28.132 1.608 1 0 0 0 0
2.60 0 0.000964 26.351 1.618 1 0 0 0 0
2.64 0 0.000288 17.795 1.605 1 0 0 0 0
2.68 0 0.000126 14.177 1.602 1 0 0 0 0
2.72 0 0.000116 16.364 1.604 1 0 0 0 0
2.76 0 0.000190 17.958 1.603 1 0 0 0 0
2.80 0 0.000261 32.678 1.601 1 0 0 0 0
2.84 0 0.000729 17.948 1.600 1 0 0 0 0
2.88 0 0.000100 13.575 1.600 1 0 0 0 0
2.92 0 0.000103 15.309 1.602 1 0 0 0 0
2.96 0 0.000138 20.553 1.623 1 0 0 0 0
3.00 0 0.000335 24.735 1.887 1 0 0 0 0
3.04 0 0.000326 22.174 1.878 1 0 0 0 0
3.08 0 0.000188 15.928 1.676 1 0 0 0 0
3.12 0 0.000732 31.611 1.620 1 0 0 0 0
3.16 0 0.000377 16.219 1.605 1 0 0 0 0
3.20 0 0.000104 16.146 1.601 1 0 0 0 0
3.24 0 0.000137 18.425 1.600 1 0 0 0 0
3.28 0 0.000168 19.424 1.600 1 0 0 0 0
3.32 0 0.000297 21.970 1.608 1 0 0 0 0
3.36 0 0.000270 26.407 1.602 1 0 0 0 0
3.40 0 0.000484 23.360 1.632 1 0 0 0 0
3.44 0 0.001197 35.271 1.678 1 0 0 0 0
3.48 0 0.000531 19.736 1.619 1 0 0 0 0
3.52 0 0.000146 16.644 1.605 1 0 0 0 0
3.56 0 0.000156 19.879 1.601 1 0 0 0 0
3.60 0 0.000211 16.784 1.602 1 0 0 0 0
3.64 0 0.000118 15.170 1.601 1 0 0 0 0
3.68 0 0.000120 15.303 1.600 1 0 0 0 0
3.72 0 0.000129 15.200 1.604 1 0 0 0 0
3.76 0 0.000118 17.700 1.607 1 0 0 0 0
3.80 0 0.000615 30.916 2.562 1 0 0 0 0
3.84 0 0.000440 21.621 2.341 1 0 0 0 0
3.88 0 0.000177 18.182 1.797 1 0 0 0 0
3.92 0 0.000594 31.535 2.577 1 0 0 0 0
3.96 0 0.000638 25.044 2.760 1 0 0 0 0
4.00 0 0.000297 21.437 2.288 1 0 0 0 0
4.04 0 0.000250 20.647 2.027 1 0 0 0 0
4.08 0 0.000224 19.589 1.912 1 0 0 0 0
4.12 0 0.000189 20.117 1.781 1 0 0 0 0
4.16 0 0.000201 18.853 1.741 1 0 0 0 0
4.20 0 0.000209 18.853 1.731 1 0 0 0 0
4.24 0 0.000221 20.517 1.731 1 0 0 0 0
4.28 0 0.000491 26.790 1.704 1 0 0 0 0
4.32 0 0.000241 21.953 1.744 1 0 0 0 0
4.36 0 0.000194 19.379 1.772 1 0 0 0 0
4.40 0 0.000189 19.929 1.814 1 0 0 0 0
4.44 0 0.000179 18.128 1.811 1 0 0 0 0
4.48 0 0.000216 27.135 1.824 1 0 0 0 0
4.52 0 0.000336 20.334 1.838 1 0 0 0 0
4.56 0 0.000200 20.766 1.837 1 0 0 0 0
4.60 0 0.000204 19.634 1.866 1 0 0 0 0
4.64 0 0.000211 20.464 1.899 1 0 0 0 0
4.68 0 0.000223 20.937 1.902 1 0 0 0 0
4.72 0 0.000212 23.594 1.922 1 0 0 0 0
4.76 0 0.000325 22.828 1.909 1 0 0 0 0
4.80 0 0.000271 21.611 1.899 1 0 0 0 0
4.84 0 0.000225 20.979 1.904 1 0 0 0 0
4.88 0 0.000239 20.285 1.883 1 0 0 0 0
4.92 0 0.000178 18.986 1.814 1 0 0 0 0
4.96 0 0.000198 20.612 1.751 1 0 0 0 0
5.00 0 0.000205 17.855 1.675 1 0 0 0 0
5.04 0 0.000137 18.245 1.640 1 0 0 0 0
5.08 0 0.000168 20.211 1.612 1 0 0 0 0
5.12 0 0.000187 16.727 1.603 1 0 0 0 0
5.16 0 0.000178 21.290 1.603 1 0 0 0 0
5.20 0 0.000204 18.327 1.602 1 0 0 0 0
5.24 0 0.000142 16.647 1.601 1 0 0 0 0
5.28 0 0.000124 16.363 1.601 1 0 0 0 0
5.32 0 0.000117 15.390 1.600 1 0 0 0 0
5.36 0 0.000173 16.699 1.600 1 0 0 0 0
5.40 0 0.000140 17.938 1.600 1 0 0 0 0
5.44 0 0.000142 15.501 1.601 1 0 0 0 0
5.48 0 0.000112 16.054 1.600 1 0 0 0 0
5.52 0 0.000138 15.480 1.601 1 0 0 0 0
5.56 0 0.000119 19.814 1.600 1 0 0 0 0
5.60 0 0.000187 17.344 1.600 1 0 0 0 0
5.64 0 0.000140 20.821 1.602 1 0 0 0 0
5.68 0 0.000199 17.053 1.607 1 0 0 0 0
5.72 0 0.000150 17.388 1.619 1 0 0 0 0
5.76 0 0.000173 21.217 1.690 1 0 0 0 0
5.80 0 0.000236 21.204 1.817 1 0 0 0 0
5.84 0 0.000272 21.755 1.874 1 0 0 0 0
5.88 0 0.000237 22.679 1.881 1 0 0 0 0
5.92 0 0.000261 21.341 1.901 1 0 0 0 0
5.96 0 0.000875 33.085 1.977 1 0 0 0 0
6.00 0 0.000456 23.504 2.025 1 0 0 0 0
6.04 0 0.000288 22.466 2.068 1 0 0 0 0
6.08 0 0.000241 21.680 2.013 1 0 0 0 0
6.12 0 0.001027 33.553 1.997 1 0 0 0 0
6.16 0 0.000549 22.693 1.866 1 0 0 0 0
6.20 0 0.000243 23.185 1.812 1 0 0 0 0
6.24 0 0.000227 20.676 1.828 1 0 0 0 0
6.28 0 0.000201 20.444 1.820 1 0 0 0 0
6.32 0 0.000199 19.057 1.820 1 0 0 0 0
6.36 0 0.000167 18.245 1.760 1 0 0 0 0
6.40 0 0.000163 17.275 1.719 1 0 0 0 0
6.44 0 0.000127 13.541 1.658 1 0 0 0 0
6.48 0 0.000501 32.605 1.640 1 0 0 0 0
6.52 0 0.000701 16.747 1.619 1 0 0 0 0
6.56 0 0.000218 22.215 1.609 1 0 0 0 0
6.60 0 0.000342 22.645 1.608 1 0 0 0 0
6.64 0 0.000163 18.566 1.603 1 0 0 0 0
6.68 0 0.000151 16.655 1.602 1 0 0 0 0
6.72 0 0.000276 20.045 1.600 1 0 0 0 0
6.76 0 0.000239 34.362 1.600 1 0 0 0 0
6.80 0 0.000780 19.496 1.609 1 0 0 0 0
6.84 0 0.000127 15.559 1.603 1 0 0 0 0
6.88 0 0.000241 23.008 1.660 1 0 0 0 0
6.92 0 0.000232 18.824 1.626 1 0 0 0 0
6.96 0 0.000141 15.714 1.609 1 0 0 0 0
7.00 0 0.000108 14.432 1.602 1 0 0 0 0
7.04 0 0.000107 15.034 1.601 1 0 0 0 0
7.08 0 0.000113 13.941 1.600 1 0 0 0 0
7.12 0 0.000099 13.281 1.600 1 0 0 0 0
7.16 0 0.000142 18.861 1.600 1 0 0 0 0
7.20 0 0.000176 17.190 1.601 1 0 0 0 0
7.24 0 0.000145 21.168 1.606 1 0 0 0 0
7.28 0 0.000283 16.877 1.603 1 0 0 0 0
7.32 0 0.000131 15.996 1.601 1 0 0 0 0
7.36 0 0.000121 14.342 1.600 1 0 0 0 0
7.40 0 0.000784 36.024 1.614 1 0 0 0 0
7.44 0 0.001571 24.460 1.674 1 0 0 0 0
7.48 0 0.000188 22.486 1.617 1 0 0 0 0
7.52 0 0.000264 22.213 1.604 1 0 0 0 0
7.56 0 0.000183 15.554 1.603 1 0 0 0 0
7.60 0 0.000117 15.499 1.604 1 0 0 0 0
7.64 0 0.000133 16.285 1.606 1 0 0 0 0
7.68 0 0.000126 17.160 1.656 1 0 0 0 0
7.72 0 0.000151 18.847 1.721 1 0 0 0 0
7.76 0 0.000184 18.850 1.813 1 0 0 0 0
7.80 0 0.000190 19.617 1.864 1 0 0 0 0
7.84 0 0.000212 21.648 1.845 1 0 0 0 0
7.88 0 0.000216 20.253 1.879 1 0 0 0 0
7.92 0 0.000185 18.998 1.817 1 0 0 0 0
7.96 0 0.000174 17.030 1.741 1 0 0 0 0
8.00 0 0.000144 19.521 1.720 1 0 0 0 0
8.04 0 0.000162 16.975 1.691 1 0 0 0 0
8.08 0 0.000130 16.903 1.623 1 0 0 0 0
8.12 0 0.000157 19.621 1.606 1 0 0 0 0
8.16 0 0.000291 22.993 1.611 1 0 0 0 0
8.20 0 0.000269 14.581 1.698 1 0 0 0 0
8.24 0 0.000145 23.993 1.624 1 0 0 0 0
8.28 0 0.000305 18.787 1.607 1 0 0 0 0
8.32 0 0.000211 20.996 1.603 1 0 0 0 0
8.36 0 0.000196 31.584 1.812 1 0 0 0 0
8.40 0 0.000531 14.738 1.822 1 0 0 0 0
8.44 0 0.000101 14.990 1.651 1 0 0 0 0
8.48 0 0.000153 16.549 1.615 1 0 0 0 0
8.52 0 0.000117 15.137 1.604 1 0 0 0 0
8.56 0 0.000275 26.189 1.601 0 0 0 0 1
8.60 0 0.000468 27.056 1.600 0 0 0 0 1
8.64 0 0.000373 22.770 1.602 0 0 0 0 1
8.68 0 0.000183 13.917 1.603 0 0 0 0 1
8.72 0 0.000091 12.125 1.601 0 0 0 0 1
8.76 0 0.000623 37.878 1.837 0 0 0 0 1
8.80 0 0.007996 63.543 6.105 0 0 0 0 1
8.84 153.216 0.037663 59.098 15.873 0 0 0 0 1
8.88 164.260 0.009329 46.747 10.197 0 0 0 0 1
8.92 171.149 0.003460 45.040 8.157 0 0 0 0 1
8.96 178.038 0.004293 49.554 8.295 0 0 0 0 1
9.00 187.661 0.006089 47.644 8.695 0 0 0 0 1
9.04 196.054 0.040144 72.929 18.731 0 0 0 0 1
9.08 198.871 0.101827 71.567 36.057 0 0 0 0 1
9.12 204.307 0.039966 57.021 19.958 0 0 0 0 1
9.16 207.697 0.008050 45.113 10.094 0 0 0 0 1
9.20 211.088 0.005248 50.195 9.922 0 0 0 0 1
9.24 215.824 0.007203 61.431 10.229 0 0 0 0 1
9.28 218.126 0.110766 77.530 37.623 0 0 0 0 1
9.32 214.513 0.121442 65.026 40.705 0 0 0 0 1
9.36 212.259 0.012857 47.233 12.512 0 0 0 0 1
9.40 210.006 0.003238 44.922 8.560 0 0 0 0 1
9.44 207.752 0.003951 44.753 7.956 0 0 0 0 1
9.48 204.604 0.021606 71.168 13.077 0 0 0 0 1
9.52 210.460 0.093695 70.390 33.008 0 0 0 0 1
9.56 223.453 0.106810 78.891 47.567 0 0 0 0 1
9.60 223.372 0.094106 48.427 22.312 0 0 0 0 1
9.64 223.322 0.004077 44.016 9.257 0 0 0 0 1
9.68 223.271 0.002496 39.263 6.766 0 0 0 0 1
9.72 223.200 0.020101 70.211 12.220 0 0 0 0 1
9.76 227.181 0.125428 76.868 40.675 0 0 0 0 1
9.80 231.240 0.122590 74.165 52.181 0 0 0 0 1
9.84 227.028 0.052959 47.749 20.902 0 0 0 0 1
9.88 224.401 0.002751 37.852 7.209 0 0 0 0 1
9.92 221.773 0.001395 34.885 5.158 0 0 0 0 1
9.96 218.104 0.003711 61.886 6.661 0 0 0 0 1
10.00 224.086 0.086517 74.883 30.201 0 0 0 0 1
10.04 235.933 0.110034 76.139 48.524 0 0 0 0 1
10.08 231.762 0.100747 68.573 44.723 0 0 0 0 1
10.12 229.160 0.013769 40.884 10.475 0 0 0 0 1
10.16 226.558 0.001246 34.798 5.003 0 0 0 0 1
10.20 223.957 0.000989 32.019 3.973 0 0 0 0 1
10.24 220.322 0.013354 65.177 9.428 0 0 0 0 1
10.28 221.364 0.082964 73.838 30.835 0 0 0 0 1
10.32 224.566 0.097433 73.825 43.331 0 0 0 0 1
10.36 218.198 0.055762 45.175 18.653 0 0 0 0 1
10.40 214.226 0.004018 46.557 7.551 0 0 0 0 1
10.44 210.255 0.002300 35.480 4.182 0 0 0 0 1
10.48 204.707 0.001233 34.956 2.981 0 0 0 0 1
10.52 216.961 0.011660 60.137 8.671 0 0 0 0 1
10.56 260.700 0.031018 63.736 19.532 0 0 0 0 1
10.60 298.306 0.043908 72.410 30.534 0 0 0 0 1
10.64 299.987 0.057247 47.433 19.318 0 0 0 0 1
10.68 271.128 0.002348 37.217 5.813 0 0 0 0 1
10.72 253.127 0.001365 37.788 3.521 0 0 0 0 1
10.76 227.982 0.001187 43.755 3.130 0 0 0 0 1
10.80 209.770 0.014732 61.998 10.258 0 0 0 0 1
10.84 196.903 0.034873 67.193 20.886 0 0 0 0 1
10.88 173.177 0.053819 60.776 28.861 0 0 0 0 1
10.92 181.105 0.005643 35.129 7.530 0 0 0 0 1
10.96 186.051 0.000841 29.628 3.611 0 0 0 0 1
11.00 192.959 0.000726 47.196 3.272 0 0 0 0 1
11.04 208.636 0.012657 61.042 10.102 0 0 0 0 1
11.08 228.497 0.032437 68.705 20.343 0 0 0 0 1
11.12 235.170 0.039267 45.322 15.902 0 0 0 0 1
11.16 232.997 0.001334 33.652 4.698 0 0 0 0 1
